from,to,link,type,
Incheon Airport,Maple Tree House,https://assumptionuniversity.sharepoint.com/:v:/s/Section_1F23B91C-914A-49D9-8429-D35EA86FF0CF/ETqzNbOD9rRJldQ2gRYV95IBPAF2Kw2Sryc1ZLN10C5Yng?e=axDF05,eat1_1,
Maple Tree House,Two Plus Itaewon,https://assumptionuniversity.sharepoint.com/:v:/s/Section_1F23B91C-914A-49D9-8429-D35EA86FF0CF/ESDECV5nTbpApdhR_PMZJ8EB_xSAo721fDxmy6WtJAhQqg?e=FN64eT,eat1_2,
Two Plus Itaewon,Daehangak,eat1_3.mp4,eat1_3,
Daehangak,Mondrian Seoul Itaewon,https://assumptionuniversity.sharepoint.com/:v:/s/Section_1F23B91C-914A-49D9-8429-D35EA86FF0CF/EULauM3j2L9NnAqEI-UjYwkByjb2JCzI20Mw1vP3TqFOZA?e=lWGVFK,eat1_4,
Mondrian Seoul Itaewon,Itaewon Market Street,eat2_1.mp4,eat2_1,
Itaewon Market Street,SINSEON SEOLNONGTANG,,eat2_2,
SINSEON SEOLNONGTANG,EONGTEORI SANGGOGI,eat2_2.mp4,eat2_3,
EONGTEORI SANGGOGI,Mondrian Seoul Itaewon,eat2_3.mp4,eat2_4,
Mondrian Seoul Itaewon,Hong's Jjukkumi,eat3_1.mp4,eat3_1,
Hong's Jjukkumi,OUTDARK (아웃닭),eat3_2.mp4,eat3_2,
OUTDARK (아웃닭),Mondrian Seoul Itaewon,eat3_3.mp4,eat3_3,
Mondrian Seoul Itaewon,Gwangjang Market,eat5_1.mp4,eat4_1,
Gwangjang Market,MAMMAMIA,eat5_2.mp4,eat4_2,
MAMMAMIA,Myth Jokbal,eat5_3.mp4,eat4_3,
Myth Jokbal,Mondrian Seoul Itaewon,eat5_4.mp4,eat4_4,
Mondrian Seoul Itaewon,Korea Mart,eat6_1.mp4,eat5_1,
Korea Mart,Incheon Airport,eat6_2.mp4,eat5_2,
Incheon Airport,Mondrian Seoul Itaewon,serie1_1.mp4,serie1_1,
Mondrian Seoul Itaewon,The War Memorial of Korea,serie1_2.mp4,serie1_2,
The War Memorial of Korea,Kkulbam,https://assumptionuniversity.sharepoint.com/:v:/s/Section_1F23B91C-914A-49D9-8429-D35EA86FF0CF/ESmUwu_JPdNJmdI4-QsMOwEBYHnxooS9hYz7FeQAwQ2PAg?e=eJR1AD,serie1_3,
Kkulbam,Mondrian Seoul Itaewon,serie1_4.mp4,serie1_4,
Mondrian Seoul Itaewon,Konkuk University,https://assumptionuniversity.sharepoint.com/:v:/s/Section_1F23B91C-914A-49D9-8429-D35EA86FF0CF/EU-fNZP7NBpKmLEWdaDv0okBDBlgIiccoMpfQJ0bLHSu8g?e=KElX09,serie2_1,
Konkuk University,Grattiti Tunnel,2_2.mp4,serie2_2,
